B-V;Vmag;log.Teff;logL;Age;Mass
 0.470;13.880; 3.825; 0.79; 1.06e+09;  1.52
 0.470;13.880; 3.825; 0.79; 1.35e+09;  1.47
 0.470;13.880; 3.825; 0.79; 1.79e+09;  1.40
 0.460;13.880; 3.828; 0.79; 1.01e+09;  1.52
 0.460;13.880; 3.828; 0.79; 1.42e+09;  1.45
 0.460;13.880; 3.828; 0.79; 1.72e+09;  1.41
 0.790;13.890; 3.745; 0.83; 2.21e+09;  1.41
 0.500;13.900; 3.816; 0.78; 1.20e+09;  1.51
 0.500;13.900; 3.816; 0.78; 1.20e+09;  1.51
 0.500;13.900; 3.816; 0.78; 1.99e+09;  1.38
 1.190;13.910; 3.670; 0.94; 1.42e+09;  1.65
 1.190;13.910; 3.670; 0.94; 1.46e+09;  1.65
 1.190;13.910; 3.670; 0.94; 1.61e+09;  1.62
 1.090;13.920; 3.690; 0.89; 1.19e+09;  1.73
 0.680;14.040; 3.770; 0.75; 2.62e+09;  1.33
 1.110;14.040; 3.686; 0.86; 1.33e+09;  1.67
 0.940;14.110; 3.715; 0.78; 1.94e+09;  1.47
 1.120;14.120; 3.684; 0.83; 1.43e+09;  1.63
 0.770;14.160; 3.750; 0.71; 2.94e+09;  1.30
 0.550;14.200; 3.800; 0.67; 2.69e+09;  1.28
 0.460;14.210; 3.828; 0.65; 1.02e+09;  1.41
 1.070;14.230; 3.693; 0.76; 1.63e+09;  1.56
 1.250;14.270; 3.658; 0.83; 4.00e+09;  1.24
 0.600;14.280; 3.789; 0.64; 3.06e+09;  1.25
 0.880;14.280; 3.726; 0.69; 2.90e+09;  1.31
 0.660;14.280; 3.775; 0.65; 3.27e+09;  1.25
 0.260;14.300; 3.900; 0.62;-9.61e+08;  1.51
 1.160;14.320; 3.676; 0.77; 1.88e+09;  1.50
 1.160;14.320; 3.676; 0.77; 1.92e+09;  1.50
 1.160;14.320; 3.676; 0.77; 2.01e+09;  1.48
 1.180;14.380; 3.672; 0.75; 2.31e+09;  1.42
 1.180;14.380; 3.672; 0.75; 2.35e+09;  1.42
 1.180;14.380; 3.672; 0.75; 2.47e+09;  1.40
 0.710;14.390; 3.764; 0.61; 3.64e+09;  1.22
 1.040;14.440; 3.697; 0.67; 2.25e+09;  1.41
 1.100;14.440; 3.687; 0.69; 1.93e+09;  1.48
 0.600;14.450; 3.789; 0.57; 3.40e+09;  1.21
 1.150;14.470; 3.678; 0.70; 2.19e+09;  1.44
 1.150;14.470; 3.678; 0.70; 2.22e+09;  1.45
 1.150;14.470; 3.678; 0.70; 2.26e+09;  1.44
 0.710;14.490; 3.764; 0.57; 3.98e+09;  1.19
 0.590;14.520; 3.791; 0.55; 2.24e+09;  1.28
 0.590;14.520; 3.791; 0.55; 2.62e+09;  1.25
 0.590;14.520; 3.791; 0.55; 3.46e+09;  1.20
 0.860;14.530; 3.730; 0.59; 4.08e+09;  1.20
 0.540;14.550; 3.803; 0.53; 1.72e+09;  1.29
 0.710;14.570; 3.764; 0.54; 4.26e+09;  1.16
 1.080;14.570; 3.690; 0.64; 2.34e+09;  1.40
 0.760;14.580; 3.752; 0.54; 4.36e+09;  1.16
 1.150;14.610; 3.678; 0.65; 2.63e+09;  1.37
 1.150;14.610; 3.678; 0.65; 2.66e+09;  1.38
 1.150;14.610; 3.678; 0.65; 2.68e+09;  1.37
 0.660;14.650; 3.775; 0.50; 4.23e+09;  1.15
 1.000;14.650; 3.702; 0.58; 3.40e+09;  1.26
 0.470;14.650; 3.825; 0.48; 7.49e+08;  1.29
 0.500;14.670; 3.816; 0.48; 1.13e+09;  1.27
 0.770;14.680; 3.750; 0.50; 4.78e+09;  1.13
 0.400;14.680; 3.847; 0.46;-3.09e+08;  1.33
 0.750;14.750; 3.755; 0.47; 5.05e+09;  1.11
 0.680;14.770; 3.770; 0.46; 4.70e+09;  1.12
 0.680;14.780; 3.770; 0.45; 4.73e+09;  1.11
 0.500;14.810; 3.816; 0.42; 9.05e+08;  1.25
 0.670;14.810; 3.773; 0.44; 4.74e+09;  1.11
 0.750;14.840; 3.755; 0.44; 5.43e+09;  1.09
 0.650;14.840; 3.777; 0.42; 3.11e+09;  1.17
 0.650;14.840; 3.777; 0.42; 3.79e+09;  1.15
 0.650;14.840; 3.777; 0.42; 4.58e+09;  1.11
 0.980;14.850; 3.705; 0.49; 4.69e+09;  1.16
 0.710;14.860; 3.764; 0.42; 5.22e+09;  1.09
 0.760;14.860; 3.752; 0.43; 5.56e+09;  1.08
 0.760;14.870; 3.752; 0.43; 5.60e+09;  1.08
 0.570;14.870; 3.795; 0.40; 1.91e+09;  1.20
 0.670;14.880; 3.773; 0.41; 3.48e+09;  1.16
 0.670;14.880; 3.773; 0.41; 3.84e+09;  1.14
 0.670;14.880; 3.773; 0.41; 4.93e+09;  1.09
 0.720;14.880; 3.761; 0.42; 5.37e+09;  1.08
 0.700;14.890; 3.766; 0.41; 5.23e+09;  1.09
 0.710;14.900; 3.764; 0.41; 5.35e+09;  1.08
 0.780;14.900; 3.748; 0.42; 5.79e+09;  1.07
 0.650;14.920; 3.777; 0.39; 3.09e+09;  1.16
 0.650;14.920; 3.777; 0.39; 4.29e+09;  1.12
 0.650;14.920; 3.777; 0.39; 4.70e+09;  1.10
 0.740;14.930; 3.757; 0.40; 5.72e+09;  1.07
 0.740;14.930; 3.757; 0.40; 5.72e+09;  1.07
 0.720;14.940; 3.761; 0.39; 5.57e+09;  1.07
 0.700;14.950; 3.766; 0.39; 5.42e+09;  1.07
 0.550;14.950; 3.800; 0.37; 1.52e+09;  1.19
 0.650;14.960; 3.777; 0.38; 3.07e+09;  1.15
 0.650;14.960; 3.777; 0.38; 4.55e+09;  1.10
 0.650;14.960; 3.777; 0.38; 4.75e+09;  1.09
 0.660;14.970; 3.775; 0.37; 3.26e+09;  1.14
 0.660;14.970; 3.775; 0.37; 4.53e+09;  1.10
 0.660;14.970; 3.775; 0.37; 4.91e+09;  1.09
 0.670;14.980; 3.773; 0.37; 3.46e+09;  1.14
 0.670;14.980; 3.773; 0.37; 4.50e+09;  1.10
 0.670;14.980; 3.773; 0.37; 5.08e+09;  1.08
 0.670;14.980; 3.773; 0.37; 3.46e+09;  1.14
 0.670;14.980; 3.773; 0.37; 4.50e+09;  1.10
 0.670;14.980; 3.773; 0.37; 5.08e+09;  1.08
 0.730;14.980; 3.759; 0.38; 5.80e+09;  1.06
 0.530;14.980; 3.806; 0.35; 1.08e+09;  1.20
 0.700;14.990; 3.766; 0.37; 4.13e+09;  1.12
 0.700;14.990; 3.766; 0.37; 4.28e+09;  1.11
 0.700;14.990; 3.766; 0.37; 5.54e+09;  1.06
 0.720;14.990; 3.761; 0.37; 5.74e+09;  1.06
 0.680;15.000; 3.770; 0.36; 3.66e+09;  1.13
 0.680;15.000; 3.770; 0.36; 4.54e+09;  1.10
 0.680;15.000; 3.770; 0.36; 5.27e+09;  1.07
 0.750;15.010; 3.755; 0.37; 6.11e+09;  1.05
 0.700;15.010; 3.766; 0.36; 4.12e+09;  1.11
 0.700;15.010; 3.766; 0.36; 4.42e+09;  1.10
 0.700;15.010; 3.766; 0.36; 5.61e+09;  1.06
 0.820;15.010; 3.739; 0.39; 6.39e+09;  1.05
 0.540;15.020; 3.803; 0.34; 1.18e+09;  1.19
 0.560;15.020; 3.798; 0.34; 1.54e+09;  1.18
 0.710;15.020; 3.764; 0.36; 4.38e+09;  1.11
 0.710;15.020; 3.764; 0.36; 4.39e+09;  1.11
 0.710;15.020; 3.764; 0.36; 5.74e+09;  1.06
 0.690;15.030; 3.768; 0.35; 3.87e+09;  1.12
 0.690;15.030; 3.768; 0.35; 4.65e+09;  1.09
 0.690;15.030; 3.768; 0.35; 5.48e+09;  1.06
 0.920;15.030; 3.716; 0.41; 6.54e+09;  1.05
 0.690;15.060; 3.768; 0.34; 3.86e+09;  1.11
 0.690;15.060; 3.768; 0.34; 4.87e+09;  1.08
 0.690;15.060; 3.768; 0.34; 5.53e+09;  1.06
 0.700;15.060; 3.766; 0.34; 4.10e+09;  1.10
 0.700;15.060; 3.766; 0.34; 4.77e+09;  1.09
 0.700;15.060; 3.766; 0.34; 5.70e+09;  1.05
 0.580;15.070; 3.793; 0.32; 1.76e+09;  1.16
 0.650;15.080; 3.777; 0.33; 2.97e+09;  1.13
 0.680;15.090; 3.770; 0.33; 3.60e+09;  1.11
 0.680;15.090; 3.770; 0.33; 5.17e+09;  1.07
 0.680;15.090; 3.770; 0.33; 5.42e+09;  1.06
 0.580;15.100; 3.793; 0.31; 1.69e+09;  1.15
 0.610;15.110; 3.786; 0.31; 2.18e+09;  1.14
 0.650;15.110; 3.777; 0.32; 2.94e+09;  1.12
 0.710;15.110; 3.764; 0.32; 4.34e+09;  1.09
 0.710;15.110; 3.764; 0.32; 5.05e+09;  1.07
 0.710;15.110; 3.764; 0.32; 5.97e+09;  1.04
 0.690;15.120; 3.768; 0.32; 3.81e+09;  1.10
 0.690;15.120; 3.768; 0.32; 5.30e+09;  1.06
 0.690;15.120; 3.768; 0.32; 5.64e+09;  1.05
 0.540;15.130; 3.803; 0.29; 8.90e+08;  1.17
 0.670;15.130; 3.773; 0.31; 3.33e+09;  1.11
 0.640;15.140; 3.780; 0.30; 2.70e+09;  1.12
 0.720;15.160; 3.761; 0.31; 4.58e+09;  1.08
 0.720;15.160; 3.761; 0.31; 5.33e+09;  1.06
 0.720;15.160; 3.761; 0.31; 6.25e+09;  1.03
 0.450;15.170; 3.831; 0.27;-1.04e+09;  1.22
 0.610;15.180; 3.786; 0.28; 2.04e+09;  1.13
 0.570;15.180; 3.795; 0.28; 1.31e+09;  1.15
 0.590;15.200; 3.791; 0.27; 1.62e+09;  1.13
 0.530;15.220; 3.806; 0.26; 3.41e+08;  1.16
 0.820;15.250; 3.739; 0.29; 7.77e+09;  0.99
 0.690;15.250; 3.768; 0.27; 3.64e+09;  1.08
 0.680;15.280; 3.770; 0.25; 3.34e+09;  1.08
 0.680;15.300; 3.770; 0.24; 3.30e+09;  1.08
 0.640;15.310; 3.780; 0.24; 2.33e+09;  1.09
 0.700;15.340; 3.766; 0.23; 3.74e+09;  1.06
 0.700;15.370; 3.766; 0.22; 3.67e+09;  1.05
 0.130;15.390; 3.963; 0.24;-4.68e+09;  1.43
 0.630;15.410; 3.782; 0.19; 1.79e+09;  1.08
 0.700;15.420; 3.766; 0.20; 3.55e+09;  1.05
 0.390;15.500; 3.850; 0.13;-3.26e+09;  1.21
-0.240; 7.880; 4.300; 4.41; 1.13e+07; 13.13
-0.220; 8.300; 4.267; 4.16; 1.35e+07; 10.97
-0.240; 8.320; 4.300; 4.23; 1.29e+07; 11.52
-0.230; 8.620; 4.283; 4.07; 1.45e+07; 10.23
-0.250; 9.050; 4.325; 4.00; 1.38e+07; 10.17
-0.250; 9.050; 4.325; 4.00; 1.46e+07;  9.99
-0.250; 9.050; 4.325; 4.00; 1.56e+07;  9.71
-0.220; 9.280; 4.267; 3.77; 2.11e+07;  8.29
