B-V;Vmag;log.Teff;logL;Age;Mass
 0.160;11.260; 3.994; 1.44; 7.48e+07;  2.29
 0.140;11.270; 4.010; 1.46;-3.36e+06;  2.35
 0.160;11.400; 3.994; 1.39; 1.40e+07;  2.24
 0.190;11.400; 3.975; 1.36; 1.20e+08;  2.17
 0.190;11.710; 3.975; 1.24;-4.75e+07;  2.08
 0.220;11.830; 3.956; 1.17; 1.16e+06;  1.98
 0.240;11.870; 3.945; 1.14; 6.29e+07;  1.93
 0.480;12.480; 3.847; 0.86; 8.20e+08;  1.58
 0.360;12.560; 3.892; 0.83; 6.38e+07;  1.61
 0.550;12.590; 3.825; 0.82; 1.08e+09;  1.54
 0.550;12.590; 3.825; 0.82; 1.17e+09;  1.52
 0.550;12.590; 3.825; 0.82; 1.74e+09;  1.42
 0.360;12.650; 3.892; 0.79;-5.74e+07;  1.59
 0.420;12.690; 3.869; 0.78; 3.54e+08;  1.54
 0.420;12.710; 3.869; 0.77; 3.26e+08;  1.53
 0.440;12.860; 3.862; 0.71; 3.03e+08;  1.48
 0.430;12.970; 3.865; 0.66; 4.57e+07;  1.47
 0.570;13.110; 3.819; 0.61; 1.25e+09;  1.37
 0.510;13.350; 3.837; 0.51; 3.51e+08;  1.33
 0.630;13.540; 3.800; 0.45; 1.77e+09;  1.23
 0.610;13.630; 3.806; 0.41; 1.34e+09;  1.22
 0.680;13.680; 3.789; 0.40; 2.31e+09;  1.18
 0.290;10.850; 4.150; 3.45; 3.10e+07;  6.80
 0.360;10.950; 4.050; 3.20; 4.06e+07;  6.01
 0.390;11.160; 4.020; 3.07; 4.78e+07;  5.58
 0.100;12.000; 4.800; 4.69;-7.64e+06; 22.26
 0.430;12.170; 3.988; 2.62; 9.37e+07;  4.20
 0.320;12.440; 4.100; 2.70; 8.63e+07;  4.28
 0.310;12.480; 4.117; 2.73; 8.25e+07;  4.34
 0.260;12.840; 4.200; 2.78; 2.66e+07;  4.98
 0.360;13.010; 4.050; 2.38; 1.40e+08;  3.52
 0.410;13.060; 4.000; 2.28; 1.66e+08;  3.33
 0.270;13.100; 4.183; 2.63; 2.67e+07;  4.60
 0.320;13.180; 4.100; 2.41; 8.04e+07;  3.87
 0.270;13.330; 4.183; 2.54; 1.39e+07;  4.44
 0.140;13.390; 4.450; 3.17;-3.37e+07;  9.36
 0.440;13.570; 3.981; 2.06; 2.40e+08;  2.89
 0.390;13.580; 4.020; 2.11; 2.05e+08;  3.00
 0.380;13.610; 4.030; 2.11; 1.47e+08;  3.22
 0.380;13.610; 4.030; 2.11; 1.48e+08;  3.22
 0.380;13.610; 4.030; 2.11; 1.98e+08;  3.03
 0.420;13.630; 3.994; 2.05; 2.36e+08;  2.88
 0.180;13.670; 4.325; 2.75;-4.78e+07;  6.12
 0.260;13.930; 4.200; 2.34;-4.23e+07;  4.23
 0.380;14.120; 4.030; 1.91; 1.41e+08;  2.90
 0.370;14.140; 4.040; 1.91; 1.22e+08;  2.92
 0.500;14.200; 3.945; 1.76; 3.82e+08;  2.44
 0.460;14.240; 3.969; 1.77; 3.48e+08;  2.48
 0.620;14.390; 3.892; 1.65; 4.70e+08;  2.30
 0.480;14.400; 3.956; 1.69; 3.96e+08;  2.37
 0.280;14.420; 4.167; 2.07;-8.62e+07;  3.61
 0.610;14.440; 3.896; 1.63; 4.86e+08;  2.27
 0.210;14.470; 4.267; 2.29;-1.06e+08;  4.58
 0.380;14.560; 4.030; 1.73; 9.87e+07;  2.67
 0.320;14.590; 4.100; 1.84;-5.81e+07;  3.02
 0.480;14.690; 3.956; 1.58; 2.96e+08;  2.38
 0.480;14.690; 3.956; 1.58; 4.17e+08;  2.26
 0.480;14.690; 3.956; 1.58; 4.33e+08;  2.24
 0.340;14.690; 4.075; 1.76;-4.10e+07;  2.83
 0.480;14.690; 3.956; 1.58; 2.96e+08;  2.38
 0.480;14.690; 3.956; 1.58; 4.17e+08;  2.26
 0.480;14.690; 3.956; 1.58; 4.33e+08;  2.24
 0.300;14.700; 4.133; 1.87;-1.15e+08;  3.19
 0.300;14.700; 4.133; 1.87;-1.15e+08;  3.19
 0.340;14.990; 4.075; 1.64;-1.26e+08;  2.71
 0.410;15.000; 4.000; 1.51; 9.69e+07;  2.36
 0.420;15.000; 3.994; 1.50; 1.26e+08;  2.34
 0.340;15.180; 4.075; 1.56;-1.92e+08;  2.63
 0.440;15.250; 3.981; 1.38; 9.58e+07;  2.21
 0.620;15.250; 3.892; 1.31; 7.55e+08;  1.89
 0.360;15.360; 4.050; 1.44;-2.24e+08;  2.44
 0.440;15.480; 3.981; 1.29;-2.00e+07;  2.13
 0.390;15.530; 4.020; 1.33;-2.25e+08;  2.26
 0.500;15.600; 3.945; 1.20; 1.64e+08;  1.98
 0.600;15.700; 3.900; 1.13; 4.76e+08;  1.85
 0.600;15.750; 3.900; 1.11; 4.64e+08;  1.84
 0.600;15.780; 3.900; 1.10; 4.56e+08;  1.82
 0.300;15.850; 4.133; 1.41;-5.08e+08;  2.66
 0.500;15.860; 3.945; 1.10;-2.08e+07;  1.90
 0.500;15.890; 3.945; 1.08;-4.52e+07;  1.89
 0.700;15.900; 3.862; 1.04; 7.53e+08;  1.75
 0.700;15.900; 3.862; 1.04; 8.32e+08;  1.73
 0.700;15.900; 3.862; 1.04; 1.08e+09;  1.63
 0.700;15.960; 3.862; 1.02; 7.45e+08;  1.73
 0.700;15.960; 3.862; 1.02; 9.10e+08;  1.68
 0.700;15.960; 3.862; 1.02; 1.08e+09;  1.62
 0.400;15.970; 4.010; 1.14;-4.94e+08;  2.08
 0.500;16.000; 3.945; 1.04;-1.41e+08;  1.86
 0.500;16.100; 3.945; 1.00;-2.36e+08;  1.83
 0.500;16.100; 3.945; 1.00;-2.36e+08;  1.83
 0.700;16.100; 3.862; 0.96; 7.22e+08;  1.68
 0.400;16.200; 4.010; 1.04;-7.02e+08;  2.01
 1.200;16.300; 3.732; 0.95; 1.44e+09;  1.61
 0.000; 9.330; 5.950; 7.70;-1.29e+07; 31.98
 0.360;11.070; 4.075; 1.92; 4.28e+07;  3.02
 2.030;11.150; 3.559; 2.32;         ;
 1.390;11.170; 3.702; 1.75; 2.02e+08;  3.12
 1.110;11.400; 3.756; 1.60; 3.86e+08;  2.50
 0.490;11.440; 3.963; 1.60; 2.78e+08;  2.42
 0.840;11.460; 3.822; 1.54; 5.36e+08;  2.22
 1.030;11.520; 3.773; 1.54; 4.68e+08;  2.34
 1.060;11.600; 3.767; 1.51; 4.85e+08;  2.31
 0.400;11.700; 4.030; 1.59; 9.56e+06;  2.53
 1.320;11.700; 3.715; 1.52; 3.56e+08;  2.57
 0.400;11.700; 4.030; 1.59; 9.56e+06;  2.53
 0.560;11.770; 3.927; 1.44; 3.94e+08;  2.20
 0.560;11.770; 3.927; 1.44; 4.63e+08;  2.14
 0.560;11.770; 3.927; 1.44; 5.60e+08;  2.06
 0.610;11.810; 3.905; 1.40; 6.52e+08;  1.99
 1.350;11.810; 3.710; 1.49; 3.68e+08;  2.54
 1.360;11.820; 3.708; 1.49; 3.64e+08;  2.55
 0.490;11.900; 3.963; 1.42; 2.35e+08;  2.20
 1.320;11.940; 3.715; 1.43; 4.41e+08;  2.39
 0.670;12.010; 3.881; 1.32; 7.87e+08;  1.89
 1.320;12.040; 3.715; 1.39; 4.82e+08;  2.32
 1.050;12.070; 3.769; 1.32; 7.50e+08;  1.99
 1.380;12.180; 3.704; 1.35; 4.81e+08;  2.33
 1.270;12.190; 3.725; 1.32; 6.11e+08;  2.14
 0.490;12.210; 3.963; 1.29; 1.33e+08;  2.09
 0.630;12.220; 3.896; 1.24; 5.33e+08;  1.96
 0.630;12.220; 3.896; 1.24; 6.45e+08;  1.90
 0.630;12.220; 3.896; 1.24; 7.66e+08;  1.84
 0.510;12.240; 3.950; 1.26; 2.01e+08;  2.04
 0.510;12.240; 3.950; 1.26; 2.01e+08;  2.04
 1.340;12.290; 3.712; 1.29; 5.78e+08;  2.19
 0.940;12.310; 3.793; 1.21; 9.95e+08;  1.80
 1.250;12.330; 3.728; 1.26; 7.09e+08;  2.04
 1.230;12.340; 3.732; 1.25; 7.37e+08;  2.01
 0.520;12.340; 3.945; 1.22; 1.93e+08;  1.99
 1.310;12.370; 3.717; 1.25; 6.62e+08;  2.09
 1.400;12.400; 3.700; 1.26; 5.60e+08;  2.21
 1.200;12.400; 3.737; 1.22; 8.12e+08;  1.95
 1.110;12.410; 3.755; 1.19; 9.42e+08;  1.85
 1.200;12.480; 3.737; 1.18; 8.70e+08;  1.90
 0.400;12.500; 4.030; 1.27;-3.65e+08;  2.24
 0.690;12.530; 3.873; 1.11; 6.71e+08;  1.82
 0.690;12.530; 3.873; 1.11; 7.59e+08;  1.79
 0.690;12.530; 3.873; 1.11; 9.61e+08;  1.70
 0.770;12.540; 3.844; 1.10; 1.15e+09;  1.66
 1.160;12.550; 3.744; 1.15; 9.86e+08;  1.82
 0.680;12.560; 3.877; 1.10; 6.37e+08;  1.81
 0.680;12.560; 3.877; 1.10; 8.35e+08;  1.74
 0.680;12.560; 3.877; 1.10; 9.32e+08;  1.70
 0.580;12.560; 3.918; 1.11; 3.08e+08;  1.86
 0.800;12.620; 3.834; 1.07; 1.24e+09;  1.63
 0.970;12.620; 3.786; 1.09; 1.25e+09;  1.66
 0.630;12.620; 3.896; 1.08; 4.74e+08;  1.80
 0.650;12.680; 3.888; 1.05; 5.24e+08;  1.77
 0.720;12.830; 3.862; 0.99; 7.32e+08;  1.70
 0.720;12.830; 3.862; 0.99; 1.02e+09;  1.62
 0.720;12.830; 3.862; 0.99; 1.09e+09;  1.60
 0.820;12.930; 3.828; 0.95; 1.43e+09;  1.53
 0.740;12.940; 3.854; 0.94; 7.89e+08;  1.66
 0.740;12.940; 3.854; 0.94; 1.09e+09;  1.58
 0.740;12.940; 3.854; 0.94; 1.17e+09;  1.56
 0.640;12.970; 3.892; 0.93; 3.46e+08;  1.68
 0.790;13.010; 3.837; 0.92; 9.62e+08;  1.63
 0.790;13.010; 3.837; 0.92; 9.69e+08;  1.63
 0.790;13.010; 3.837; 0.92; 1.38e+09;  1.51
 0.550;13.050; 3.932; 0.93;-2.65e+08;  1.75
 0.750;13.050; 3.850; 0.90; 8.08e+08;  1.62
 0.750;13.050; 3.850; 0.90; 1.21e+09;  1.53
 0.750;13.050; 3.850; 0.90; 1.22e+09;  1.52
 0.530;13.110; 3.941; 0.91;-4.32e+08;  1.76
 0.860;13.130; 3.816; 0.88; 1.73e+09;  1.45
 0.690;13.150; 3.873; 0.86; 4.81e+08;  1.60
 0.670;13.160; 3.881; 0.86; 3.62e+08;  1.61
 0.650;13.200; 3.888; 0.84; 1.72e+08;  1.61
 0.780;13.210; 3.841; 0.83; 8.80e+08;  1.56
 0.780;13.210; 3.841; 0.83; 1.36e+09;  1.47
 0.780;13.210; 3.841; 0.83; 1.40e+09;  1.47
 1.010;13.240; 3.777; 0.85; 2.05e+09;  1.42
 0.910;13.270; 3.800; 0.82; 2.09e+09;  1.40
 0.750;13.280; 3.850; 0.80; 7.30e+08;  1.54
 0.740;13.370; 3.854; 0.77; 6.19e+08;  1.52
 0.700;13.400; 3.869; 0.76; 2.98e+08;  1.53
 0.780;13.420; 3.841; 0.75; 8.08e+08;  1.49
 0.760;13.420; 3.847; 0.75; 7.05e+08;  1.50
 1.030;13.430; 3.773; 0.78; 2.46e+09;  1.35
 0.660;13.440; 3.885; 0.75;-8.67e+07;  1.55
 0.750;13.460; 3.850; 0.73; 6.27e+08;  1.49
 0.840;13.510; 3.822; 0.72; 1.13e+09;  1.46
 0.840;13.510; 3.822; 0.72; 1.76e+09;  1.38
 0.840;13.510; 3.822; 0.72; 1.97e+09;  1.36
 0.660;13.520; 3.885; 0.71;-2.15e+08;  1.53
 0.700;13.550; 3.869; 0.70; 7.35e+07;  1.50
 0.760;13.560; 3.847; 0.69; 6.36e+08;  1.45
 0.620;13.560; 3.900; 0.70;-5.76e+08;  1.55
 1.150;13.590; 3.745; 0.73; 2.83e+09;  1.31
 0.650;13.640; 3.888; 0.67;-5.03e+08;  1.51
 0.900;13.670; 3.803; 0.66; 1.64e+09;  1.39
 0.900;13.670; 3.803; 0.66; 1.78e+09;  1.37
 0.900;13.670; 3.803; 0.66; 2.64e+09;  1.28
 0.800;13.780; 3.834; 0.61; 8.04e+08;  1.38
 0.940;13.800; 3.793; 0.62; 3.07e+09;  1.24
 0.960;13.800; 3.789; 0.62; 3.18e+09;  1.24
 1.070;13.810; 3.764; 0.63; 3.51e+09;  1.23
 0.590;13.840; 3.914; 0.60;-1.33e+09;  1.52
 0.590;13.850; 3.914; 0.59;-1.35e+09;  1.52
 0.910;13.870; 3.800; 0.58; 1.82e+09;  1.32
 0.910;13.870; 3.800; 0.58; 2.46e+09;  1.27
 0.910;13.870; 3.800; 0.58; 2.96e+09;  1.23
 0.730;13.880; 3.858; 0.57;-1.34e+08;  1.40
 0.790;13.910; 3.837; 0.56; 5.58e+08;  1.36
 0.750;13.940; 3.850; 0.54; 5.00e+06;  1.37
 0.620;13.960; 3.900; 0.54;-1.38e+09;  1.47
 0.860;13.970; 3.816; 0.54; 1.27e+09;  1.31
 0.920;14.040; 3.798; 0.52; 1.94e+09;  1.27
 0.920;14.040; 3.798; 0.52; 3.17e+09;  1.20
 0.920;14.040; 3.798; 0.52; 3.22e+09;  1.20
 1.130;14.080; 3.750; 0.53; 4.53e+09;  1.15
 0.850;14.090; 3.819; 0.49; 1.04e+09;  1.29
 0.850;14.130; 3.819; 0.47; 9.85e+08;  1.28
 0.800;14.150; 3.834; 0.46; 2.12e+08;  1.30
 0.810;14.170; 3.831; 0.45; 3.16e+08;  1.29
 1.180;14.200; 3.739; 0.49; 5.03e+09;  1.12
 1.000;14.200; 3.780; 0.46; 2.94e+09;  1.20
 1.000;14.200; 3.780; 0.46; 3.30e+09;  1.18
 1.000;14.200; 3.780; 0.46; 4.30e+09;  1.13
 1.310;14.240; 3.711; 0.51; 4.59e+09;  1.16
 0.980;14.260; 3.784; 0.44; 2.64e+09;  1.20
 0.980;14.260; 3.784; 0.44; 3.83e+09;  1.15
 0.980;14.260; 3.784; 0.44; 4.13e+09;  1.13
 1.020;14.310; 3.775; 0.42; 3.29e+09;  1.17
 1.020;14.310; 3.775; 0.42; 3.75e+09;  1.15
 1.020;14.310; 3.775; 0.42; 4.73e+09;  1.10
 1.040;14.310; 3.770; 0.42; 4.93e+09;  1.10
 0.730;14.340; 3.858; 0.38;-1.24e+09;  1.32
 1.020;14.360; 3.775; 0.40; 3.28e+09;  1.16
 1.020;14.360; 3.775; 0.40; 4.07e+09;  1.13
 1.020;14.360; 3.775; 0.40; 4.81e+09;  1.10
 0.600;14.400; 3.909; 0.37;-2.69e+09;  1.40
 1.130;14.400; 3.750; 0.40; 5.96e+09;  1.06
 1.050;14.460; 3.768; 0.37; 3.89e+09;  1.12
 1.050;14.460; 3.768; 0.37; 4.44e+09;  1.10
 1.050;14.460; 3.768; 0.37; 5.43e+09;  1.07
 1.120;14.480; 3.752; 0.37; 6.25e+09;  1.05
 0.800;14.490; 3.834; 0.33;-7.20e+08;  1.25
 0.850;14.510; 3.819; 0.32; 7.56e+07;  1.21
 1.210;14.520; 3.732; 0.38; 6.72e+09;  1.04
 1.240;14.540; 3.725; 0.38; 6.88e+09;  1.04
 1.080;14.550; 3.761; 0.33; 4.63e+09;  1.09
 1.080;14.550; 3.761; 0.33; 4.80e+09;  1.08
 1.080;14.550; 3.761; 0.33; 6.08e+09;  1.04
 1.100;14.560; 3.757; 0.33; 6.34e+09;  1.03
 1.120;14.570; 3.752; 0.33; 6.60e+09;  1.03
 0.970;14.580; 3.786; 0.31; 2.16e+09;  1.14
 0.700;14.640; 3.869; 0.26;-2.58e+09;  1.29
 1.260;14.660; 3.720; 0.33; 7.70e+09;  1.01
 0.780;14.670; 3.841; 0.25;-1.64e+09;  1.23
 0.880;14.850; 3.809; 0.19;-5.55e+08;  1.15
 1.090;14.920; 3.759; 0.19; 4.38e+09;  1.02
 0.890;14.920; 3.806; 0.16;-6.31e+08;  1.13
 1.040;15.170; 3.770; 0.08; 1.83e+09;  1.02
 1.110;15.240; 3.755; 0.06; 3.88e+09;  0.98
 1.090; 9.960; 3.708; 2.21; 1.05e+08;  4.04
 1.090; 9.960; 3.708; 2.21; 1.58e+08;  3.67
 1.090; 9.960; 3.708; 2.21; 1.90e+08;  3.56
 1.290;10.880; 3.668; 1.93; 1.53e+08;  3.49
 1.290;10.880; 3.668; 1.93; 2.09e+08;  3.23
 1.290;10.880; 3.668; 1.93; 2.73e+08;  3.10
 1.200;11.090; 3.686; 1.80; 1.76e+08;  3.30
 1.440;11.360; 3.638; 1.82; 3.98e+08;  2.50
 1.440;11.360; 3.638; 1.82; 4.05e+08;  2.50
 1.440;11.360; 3.638; 1.82; 6.06e+08;  2.44
 0.540;11.480; 3.831; 1.51; 5.76e+08;  2.16
 0.750;11.490; 3.775; 1.53; 4.78e+08;  2.32
 1.170;11.600; 3.692; 1.59; 2.55e+08;  2.87
 1.310;11.650; 3.664; 1.63; 2.79e+08;  2.79
 1.310;11.650; 3.664; 1.63; 3.30e+08;  2.73
 1.310;11.650; 3.664; 1.63; 3.98e+08;  2.65
 1.520;11.870; 3.621; 1.68; 1.88e+09;  1.57
 0.680;11.950; 3.791; 1.34; 7.64e+08;  1.97
 1.160;12.180; 3.694; 1.35; 4.40e+08;  2.40
 0.580;12.200; 3.819; 1.23; 9.77e+08;  1.80
 1.280;12.270; 3.670; 1.37; 4.76e+08;  2.34
 1.280;12.270; 3.670; 1.37; 5.47e+08;  2.30
 1.280;12.270; 3.670; 1.37; 5.75e+08;  2.28
 1.080;12.300; 3.710; 1.28; 5.92e+08;  2.17
 1.490;12.310; 3.627; 1.48; 2.88e+09;  1.37
 1.790;12.340; 3.550; 1.88;         ;
 1.370;12.420; 3.652; 1.35; 8.87e+08;  1.93
 1.370;12.420; 3.652; 1.35; 8.96e+08;  1.93
 1.370;12.420; 3.652; 1.35; 1.10e+09;  1.90
 0.630;12.420; 3.803; 1.15; 1.13e+09;  1.71
 0.650;12.430; 3.798; 1.15; 1.13e+09;  1.72
 1.550;12.530; 3.615; 1.44; 8.03e+09;  1.03
 0.610;12.650; 3.809; 1.05; 1.34e+09;  1.61
 0.440;12.670; 3.865; 1.03; 7.16e+08;  1.75
 0.440;12.670; 3.865; 1.03; 9.00e+08;  1.69
 0.440;12.670; 3.865; 1.03; 1.04e+09;  1.64
 0.600;12.690; 3.813; 1.04; 1.37e+09;  1.59
 0.340;12.710; 3.905; 1.03; 3.40e+08;  1.77
 0.800;12.730; 3.764; 1.04; 1.36e+09;  1.63
 0.250;12.730; 3.945; 1.05;-1.22e+08;  1.87
 0.620;12.750; 3.806; 1.01; 1.43e+09;  1.57
 1.690;12.760; 3.579; 1.53;         ;
 1.720;12.780; 3.571; 1.58;         ;
 1.090;12.790; 3.708; 1.08; 8.97e+08;  1.89
 0.670;12.790; 3.793; 1.00; 1.46e+09;  1.57
 1.300;12.800; 3.666; 1.16; 9.08e+08;  1.90
 1.300;12.800; 3.666; 1.16; 9.41e+08;  1.91
 1.300;12.800; 3.666; 1.16; 1.16e+09;  1.85
 0.590;12.810; 3.816; 0.99; 1.47e+09;  1.54
 0.720;12.820; 3.782; 1.00; 1.48e+09;  1.57
 0.410;12.830; 3.877; 0.97; 5.76e+08;  1.70
 0.730;12.860; 3.780; 0.98; 1.53e+09;  1.55
 1.340;12.870; 3.658; 1.15; 1.22e+09;  1.74
 1.340;12.870; 3.658; 1.15; 1.23e+09;  1.74
 1.340;12.870; 3.658; 1.15; 1.40e+09;  1.72
 0.690;12.930; 3.789; 0.95; 1.61e+09;  1.52
 1.810;12.960; 3.527; 1.80;         ;
 0.490;12.970; 3.847; 0.91; 8.52e+08;  1.63
 0.490;12.970; 3.847; 0.91; 1.10e+09;  1.57
 0.490;12.970; 3.847; 0.91; 1.26e+09;  1.53
 0.410;12.990; 3.877; 0.91; 5.08e+08;  1.64
 0.450;12.990; 3.862; 0.91; 6.89e+08;  1.63
 0.910;13.000; 3.740; 0.96; 1.48e+09;  1.59
 0.680;13.000; 3.791; 0.92; 1.71e+09;  1.49
 0.930;13.020; 3.736; 0.95; 1.45e+09;  1.60
 0.760;13.020; 3.773; 0.92; 1.71e+09;  1.49
 1.170;13.060; 3.692; 1.00; 9.42e+08;  1.86
 0.500;13.070; 3.844; 0.87; 8.66e+08;  1.60
 0.500;13.070; 3.844; 0.87; 1.21e+09;  1.52
 0.500;13.070; 3.844; 0.87; 1.30e+09;  1.50
 0.720;13.090; 3.782; 0.89; 1.85e+09;  1.46
 0.460;13.160; 3.858; 0.84; 6.66e+08;  1.57
 0.370;13.220; 3.892; 0.82; 2.46e+07;  1.61
 0.430;13.250; 3.869; 0.80; 4.29e+08;  1.56
 0.400;13.300; 3.881; 0.78; 1.37e+08;  1.57
 0.640;13.300; 3.800; 0.80; 2.20e+09;  1.37
 0.600;13.360; 3.813; 0.77; 2.09e+09;  1.37
 0.440;13.360; 3.865; 0.76; 3.86e+08;  1.52
 0.430;13.370; 3.869; 0.76; 2.84e+08;  1.53
 0.560;13.410; 3.825; 0.74; 1.06e+09;  1.48
 0.560;13.410; 3.825; 0.74; 1.66e+09;  1.40
 0.560;13.410; 3.825; 0.74; 1.86e+09;  1.38
 0.400;13.440; 3.881; 0.73;-7.10e+07;  1.53
 0.510;13.510; 3.841; 0.70; 7.86e+08;  1.45
 0.770;13.520; 3.770; 0.72; 2.78e+09;  1.31
 0.590;13.520; 3.816; 0.70; 1.27e+09;  1.44
 0.590;13.520; 3.816; 0.70; 1.76e+09;  1.38
 0.590;13.520; 3.816; 0.70; 2.18e+09;  1.33
 0.320;13.530; 3.914; 0.71;-7.90e+08;  1.58
 0.400;13.560; 3.881; 0.68;-2.72e+08;  1.51
 0.900;13.560; 3.741; 0.73; 2.83e+09;  1.32
 1.180;13.620; 3.690; 0.78; 1.53e+09;  1.59
 0.450;13.630; 3.862; 0.65; 1.08e+08;  1.45
 0.310;13.630; 3.918; 0.67;-1.04e+09;  1.57
 0.430;13.640; 3.869; 0.65;-1.20e+08;  1.47
 0.580;13.690; 3.819; 0.63; 1.25e+09;  1.38
 0.500;13.700; 3.844; 0.62; 5.69e+08;  1.40
 0.490;13.740; 3.847; 0.61; 4.06e+08;  1.40
 0.300;13.750; 3.923; 0.62;-1.33e+09;  1.55
 0.450;13.750; 3.862; 0.60;-8.80e+07;  1.43
 0.410;13.780; 3.877; 0.59;-5.63e+08;  1.45
 0.520;13.800; 3.837; 0.58; 6.50e+08;  1.37
 0.620;13.800; 3.806; 0.59; 1.60e+09;  1.34
 0.620;13.800; 3.806; 0.59; 2.53e+09;  1.27
 0.620;13.800; 3.806; 0.59; 2.70e+09;  1.25
 0.700;13.800; 3.786; 0.60; 3.31e+09;  1.22
 0.840;13.810; 3.755; 0.62; 3.66e+09;  1.22
 0.420;13.820; 3.873; 0.58;-5.41e+08;  1.44
 0.650;13.860; 3.798; 0.57; 1.92e+09;  1.31
 0.650;13.860; 3.798; 0.57; 2.50e+09;  1.27
 0.650;13.860; 3.798; 0.57; 3.08e+09;  1.22
 0.370;13.870; 3.892; 0.56;-1.11e+09;  1.46
 0.370;13.880; 3.892; 0.55;-1.13e+09;  1.46
 0.450;13.900; 3.862; 0.54;-3.72e+08;  1.40
 0.500;13.900; 3.844; 0.54; 2.46e+08;  1.36
 0.530;13.910; 3.834; 0.54; 6.22e+08;  1.34
 0.570;13.920; 3.822; 0.54; 1.06e+09;  1.32
 0.390;13.920; 3.885; 0.54;-1.04e+09;  1.44
 0.420;13.940; 3.873; 0.53;-7.89e+08;  1.41
 0.790;13.970; 3.766; 0.55; 4.16e+09;  1.17
 0.630;13.980; 3.803; 0.52; 1.72e+09;  1.28
 0.670;14.030; 3.793; 0.51; 2.14e+09;  1.26
 0.670;14.030; 3.793; 0.51; 3.14e+09;  1.20
 0.670;14.030; 3.793; 0.51; 3.45e+09;  1.18
 0.430;14.030; 3.869; 0.49;-8.86e+08;  1.39
 0.620;14.050; 3.806; 0.49; 1.57e+09;  1.27
 0.660;14.060; 3.795; 0.49; 2.04e+09;  1.25
 0.530;14.070; 3.834; 0.48; 3.02e+08;  1.31
 0.970;14.080; 3.725; 0.54; 4.58e+09;  1.16
 0.520;14.090; 3.837; 0.47; 1.15e+08;  1.31
 0.910;14.130; 3.739; 0.51; 4.90e+09;  1.13
 0.860;14.130; 3.750; 0.49; 4.91e+09;  1.12
 0.590;14.160; 3.816; 0.45; 1.02e+09;  1.26
 0.520;14.170; 3.837; 0.44;-7.58e+07;  1.30
 0.910;14.190; 3.739; 0.48; 5.18e+09;  1.11
 0.900;14.200; 3.741; 0.48; 5.22e+09;  1.11
 0.510;14.200; 3.841; 0.42;-2.92e+08;  1.30
 0.900;14.210; 3.741; 0.47; 5.27e+09;  1.11
 0.590;14.210; 3.816; 0.43; 9.40e+08;  1.25
 0.540;14.220; 3.831; 0.42; 9.68e+07;  1.28
 0.370;14.230; 3.892; 0.41;-2.00e+09;  1.40
 0.710;14.250; 3.784; 0.42; 2.63e+09;  1.19
 0.710;14.250; 3.784; 0.42; 4.01e+09;  1.13
 0.710;14.250; 3.784; 0.42; 4.17e+09;  1.13
 0.630;14.260; 3.803; 0.41; 1.52e+09;  1.22
 0.590;14.260; 3.816; 0.41; 8.49e+08;  1.24
 0.840;14.270; 3.755; 0.43; 5.47e+09;  1.09
 0.940;14.280; 3.732; 0.46; 5.62e+09;  1.09
 0.910;14.280; 3.739; 0.45; 5.61e+09;  1.09
 0.710;14.300; 3.784; 0.40; 2.61e+09;  1.18
 0.570;14.320; 3.822; 0.38; 3.33e+08;  1.24
 0.670;14.330; 3.793; 0.39; 2.00e+09;  1.19
 0.320;14.350; 3.914; 0.38;-2.73e+09;  1.42
 0.590;14.360; 3.816; 0.37; 5.97e+08;  1.22
 0.930;14.370; 3.734; 0.42; 6.09e+09;  1.07
 0.580;14.400; 3.819; 0.35; 2.89e+08;  1.22
 0.400;14.410; 3.881; 0.34;-2.26e+09;  1.34
 0.730;14.430; 3.780; 0.36; 2.86e+09;  1.14
 0.580;14.450; 3.819; 0.33; 1.38e+08;  1.22
 0.620;14.460; 3.806; 0.33; 9.37e+08;  1.19
 0.780;14.470; 3.768; 0.35; 3.86e+09;  1.11
 0.780;14.470; 3.768; 0.35; 4.79e+09;  1.08
 0.780;14.470; 3.768; 0.35; 5.52e+09;  1.06
 0.760;14.480; 3.773; 0.34; 3.40e+09;  1.12
 0.760;14.480; 3.773; 0.34; 5.05e+09;  1.07
 0.760;14.480; 3.773; 0.34; 5.21e+09;  1.07
 0.790;14.490; 3.766; 0.34; 4.10e+09;  1.10
 0.790;14.490; 3.766; 0.34; 4.84e+09;  1.08
 0.790;14.490; 3.766; 0.34; 5.72e+09;  1.05
 0.890;14.510; 3.743; 0.35; 6.80e+09;  1.03
 0.510;14.510; 3.841; 0.30;-1.22e+09;  1.25
 0.890;14.550; 3.743; 0.33; 7.01e+09;  1.02
 0.700;14.560; 3.786; 0.30; 2.12e+09;  1.13
 0.860;14.560; 3.750; 0.32; 6.83e+09;  1.02
 0.660;14.580; 3.795; 0.29; 1.36e+09;  1.15
 0.760;14.600; 3.773; 0.29; 3.27e+09;  1.10
 0.640;14.650; 3.800; 0.26; 7.92e+08;  1.15
 0.840;14.660; 3.755; 0.28; 5.49e+09;  1.04
 0.840;14.660; 3.755; 0.28; 5.70e+09;  1.04
 0.840;14.660; 3.755; 0.28; 7.00e+09;  1.00
 0.700;14.700; 3.786; 0.24; 1.78e+09;  1.11
 0.650;14.730; 3.798; 0.23; 6.86e+08;  1.13
 0.400;14.730; 3.881; 0.21;-3.39e+09;  1.30
